form	count	english candidates	example
azbuque	1	azbuk (1.00), beth-zur (0.40), nehemiah (0.22), sepulchres (0.13)	Neemias 3:16 — After him repaired Nehemiah the son of Azbuk, the ruler of the half part of Beth-zur, unto the place over against the sepulchres of David, and to the 
bavai	1	bavai (1.00), henadad (0.40), keilah (0.12), repaired (0.05)	Neemias 3:18 — After him repaired their brethren, Bavai the son of Henadad, the ruler of the half part of Keilah.
palal	1	palal (1.00), uzai (1.00), parosh (0.33), pedaiah (0.22)	Neemias 3:25 — Palal the son of Uzai, over against the turning of the wall, and the tower which lieth out from the king's high house, that was by the court of the pr
uzai	1	palal (1.00), uzai (1.00), parosh (0.33), pedaiah (0.22)	Neemias 3:25 — Palal the son of Uzai, over against the turning of the wall, and the tower which lieth out from the king's high house, that was by the court of the pr
zalafe	1	zalaph (1.00), shelemiah (0.18), hanun (0.18), berechiah (0.18)	Neemias 3:30 — After him repaired Hananiah the son of Shelemiah, and Hanun the sixth son of Zalaph, another piece. After him repaired Meshullam the son of Berechiah 
mifcade	1	goldsmith's (1.00), miphkad (1.00), malchiah (0.20), nethinims (0.12)	Neemias 3:31 — After him repaired Malchiah the goldsmith's son unto the place of the Nethinims, and of the merchants, over against the gate Miphkad, and to the going
permitir-se-lhes-á	1	rubbish (0.67), revive (0.22), feeble (0.09), fortify (0.09)	Neemias 4:2 — And he spake before his brethren and the army of Samaria, and said, What do these feeble Jews? will they fortify themselves? will they sacrifice? will
centésimo	1	oliveyards (0.33), hundredth (0.20), exact (0.20), vineyards (0.04)	Neemias 5:11 — Restore, I pray you, to them, even this day, their lands, their vineyards, their oliveyards, and their houses, also the hundredth part of the money, a
restituir-lho-emos	1	require (0.05), sayest (0.04), restore (0.04), oath (0.02)	Neemias 5:12 — Then said they, We will restore them, and will require nothing of them; so will we do as thou sayest. Then I called the priests, and took an oath of t
noadia	1	noadiah (0.67), prophetess (0.20), sanballat (0.18), tobiah (0.13)	Neemias 6:14 — My God, think thou upon Tobiah and Sanballat according to these their works, and on the prophetess Noadiah, and the rest of the prophets, that would h
elul	1	elul (1.00), finished (0.03), fifth (0.02), fifty (0.01)	Neemias 6:15 — So the wall was finished in the twenty and fifth day of the month Elul, in fifty and two days.
raamias	1	raamiah (1.00), nahamani (1.00), mispereth (1.00), nehum (1.00)	Neemias 7:7 — Who came with Zerubbabel, Jeshua, Nehemiah, Azariah, Raamiah, Nahamani, Mordecai, Bilshan, Mispereth, Bigvai, Nehum, Baanah. The number, I say, of the
naamani	1	raamiah (1.00), nahamani (1.00), mispereth (1.00), nehum (1.00)	Neemias 7:7 — Who came with Zerubbabel, Jeshua, Nehemiah, Azariah, Raamiah, Nahamani, Mordecai, Bilshan, Mispereth, Bigvai, Nehum, Baanah. The number, I say, of the
misperete	1	raamiah (1.00), nahamani (1.00), mispereth (1.00), nehum (1.00)	Neemias 7:7 — Who came with Zerubbabel, Jeshua, Nehemiah, Azariah, Raamiah, Nahamani, Mordecai, Bilshan, Mispereth, Bigvai, Nehum, Baanah. The number, I say, of the
bete-azmavete	1	beth-azmaveth (1.00), forty (0.01), two (0.00), men (0.00)	Neemias 7:28 — The men of Beth-azmaveth, forty and two.
hodeva	1	hodevah (1.00), kadmiel (0.22), jeshua (0.06), seventy (0.02)	Neemias 7:43 — The Levites: the children of Jeshua, of Kadmiel, and of the children of Hodevah, seventy and four.
lebana	1	lebana (1.00), hagaba (1.00), shalmai (0.67), children (0.00)	Neemias 7:48 — The children of Lebana, the children of Hagaba, the children of Shalmai,
salmai	1	lebana (1.00), hagaba (1.00), shalmai (0.67), children (0.00)	Neemias 7:48 — The children of Lebana, the children of Hagaba, the children of Shalmai,
besai	1	meunim (1.00), nephishesim (1.00), besai (0.67), children (0.00)	Neemias 7:52 — The children of Besai, the children of Meunim, the children of Nephishesim,
meunim	1	meunim (1.00), nephishesim (1.00), besai (0.67), children (0.00)	Neemias 7:52 — The children of Besai, the children of Meunim, the children of Nephishesim,
nefussim	1	meunim (1.00), nephishesim (1.00), besai (0.67), children (0.00)	Neemias 7:52 — The children of Besai, the children of Meunim, the children of Nephishesim,
bazlite	1	bazlith (1.00), mehida (0.67), harsha (0.67), children (0.00)	Neemias 7:54 — The children of Bazlith, the children of Mehida, the children of Harsha,
tamá	1	tamah (1.00), barkos (0.67), sisera (0.10), children (0.00)	Neemias 7:55 — The children of Barkos, the children of Sisera, the children of Tamah,
nesia	1	neziah (0.67), hatipha (0.67), children (0.00)	Neemias 7:56 — The children of Neziah, the children of Hatipha.
perida	1	perida (1.00), sotai (0.67), sophereth (0.67), solomon's (0.07)	Neemias 7:57 — The children of Solomon's servants: the children of Sotai, the children of Sophereth, the children of Perida,
jaalá	1	jaala (1.00), darkon (0.67), giddel (0.40), children (0.00)	Neemias 7:58 — The children of Jaala, the children of Darkon, the children of Giddel,
adom	1	tel-haresha (1.00), addon (1.00), tel-melah (0.67), immer (0.18)	Neemias 7:61 — And these were they which went up also from Tel-melah, Tel-haresha, Cherub, Addon, and Immer: but they could not shew their father's house, nor their 
melquias	1	hashbadana (1.00), pulpit (0.67), anaiah (0.67), hashum (0.33)	Neemias 8:4 — And Ezra the scribe stood upon a pulpit of wood, which they had made for the purpose; and beside him stood Mattithiah, and Shema, and Anaiah, and Urij
hasbadana	1	hashbadana (1.00), pulpit (0.67), anaiah (0.67), hashum (0.33)	Neemias 8:4 — And Ezra the scribe stood upon a pulpit of wood, which they had made for the purpose; and beside him stood Mattithiah, and Shema, and Anaiah, and Urij
oliveiras-bravas	1	myrtle (0.29), booths (0.25), pine (0.22), publish (0.08)	Neemias 8:15 — And that they should publish and proclaim in all their cities, and in Jerusalem, saying, Go forth unto the mount, and fetch olive branches, and pine b
quenani	1	chenani (1.00), bunni (0.50), shebaniah (0.25), kadmiel (0.22)	Neemias 9:4 — Then stood up upon the stairs, of the Levites, Jeshua, and Bani, Kadmiel, Shebaniah, Bunni, Sherebiah, Bani, and Chenani, and cried with a loud voice 
bilgai	1	bilgai (1.00), maaziah (0.67), shemaiah (0.05), priests (0.00)	Neemias 10:8 — Maaziah, Bilgai, Shemaiah: these were the priests.
azanias	1	azaniah (1.00), henadad (0.40), binnui (0.25), kadmiel (0.22)	Neemias 10:9 — And the Levites: both Jeshua the son of Azaniah, Binnui of the sons of Henadad, Kadmiel;
beninu	1	beninu (1.00), hodijah (0.33), bani (0.13)	Neemias 10:13 — Hodijah, Bani, Beninu.
nebai	1	nebai (1.00), hariph (0.67), anathoth (0.11)	Neemias 10:19 — Hariph, Anathoth, Nebai,
magpias	1	magpiash (1.00), hezir (0.67), meshullam (0.08)	Neemias 10:20 — Magpiash, Meshullam, Hezir,
sobeque	1	hallohesh (1.00), pileha (1.00), shobek (1.00)	Neemias 10:24 — Hallohesh, Pileha, Shobek,
hasabná	1	hashabnah (1.00), rehum (0.22), maaseiah (0.08)	Neemias 10:25 — Rehum, Hashabnah, Maaseiah,
ataías	1	athaiah (1.00), perez (0.50), mahalaleel (0.17), shephatiah (0.15)	Neemias 11:4 — And at Jerusalem dwelt certain of the children of Judah, and of the children of Benjamin. Of the children of Judah; Athaiah the son of Uzziah, the son
col-hoze	1	hazaiah (1.00), shiloni (1.00), col-hozeh (0.67), joiarib (0.33)	Neemias 11:5 — And Maaseiah the son of Baruch, the son of Col-hozeh, the son of Hazaiah, the son of Adaiah, the son of Joiarib, the son of Zechariah, the son of Shil
hazaías	1	hazaiah (1.00), shiloni (1.00), col-hozeh (0.67), joiarib (0.33)	Neemias 11:5 — And Maaseiah the son of Baruch, the son of Col-hozeh, the son of Hazaiah, the son of Adaiah, the son of Joiarib, the son of Zechariah, the son of Shil
siloni	1	hazaiah (1.00), shiloni (1.00), col-hozeh (0.67), joiarib (0.33)	Neemias 11:5 — And Maaseiah the son of Baruch, the son of Col-hozeh, the son of Hazaiah, the son of Adaiah, the son of Joiarib, the son of Zechariah, the son of Shil
joede	1	joed (1.00), kolaiah (0.67), ithiel (0.67), jesaiah (0.67)	Neemias 11:7 — And these are the sons of Benjamin; Sallu the son of Meshullam, the son of Joed, the son of Pedaiah, the son of Kolaiah, the son of Maaseiah, the son 
senua	1	senuah (1.00), overseer (0.25), zichri (0.15), joel (0.09)	Neemias 11:9 — And Joel the son of Zichri was their overseer: and Judah the son of Senuah was second over the city.
pelalias	1	pelaliah (1.00), amzi (0.67), adaiah (0.20), malchiah (0.20)	Neemias 11:12 — And their brethren that did the work of the house were eight hundred twenty and two: and Adaiah the son of Jeroham, the son of Pelaliah, the son of Am
gedolim	1	zabdiel (0.67), overseer (0.25), valour (0.05), eight (0.02)	Neemias 11:14 — And their brethren, mighty men of valour, an hundred twenty and eight: and their overseer was Zabdiel, the son of one of the great men.
gispa	1	gispa (1.00), ziha (0.50), ophel (0.33), nethinims (0.12)	Neemias 11:21 — But the Nethinims dwelt in Ophel: and Ziha and Gispa were over the Nethinims.
jecabzeel	1	jekabzeel (1.00), kirjath-arba (0.29), dibon (0.20), villages (0.03)	Neemias 11:25 — And for the villages, with their fields, some of the children of Judah dwelt at Kirjath-arba, and in the villages thereof, and at Dibon, and in the vi
molada	1	beth-phelet (1.00), moladah (0.40), jeshua (0.06)	Neemias 11:26 — And at Jeshua, and at Moladah, and at Beth-phelet,
bete-pelete	1	beth-phelet (1.00), moladah (0.40), jeshua (0.06)	Neemias 11:26 — And at Jeshua, and at Moladah, and at Beth-phelet,
mecona	1	mekonah (1.00), ziklag (0.15), villages (0.03), thereof (0.00)	Neemias 11:28 — And at Ziklag, and at Mekonah, and in the villages thereof,
en-rimom	1	en-rimmon (1.00), zareah (1.00), jarmuth (0.25)	Neemias 11:29 — And at En-rimmon, and at Zareah, and at Jarmuth,
nebalate	1	neballat (1.00), hadid (0.50), zeboim (0.33)	Neemias 11:34 — Hadid, Zeboim, Neballat,
repartimentos	1	divisions (0.10), benjamin (0.01), levites (0.01), judah (0.00)	Neemias 11:36 — And of the Levites were divisions in Judah, and in Benjamin.
ginetoi	1	ginnetho (1.00), iddo (0.14), abijah (0.10)	Neemias 12:4 — Iddo, Ginnetho, Abijah,
maadias	1	maadiah (1.00), miamin (0.67), bilgah (0.50)	Neemias 12:5 — Miamin, Maadiah, Bilgah,
meraías	1	meraiah (1.00), joiakim (0.50), seraiah (0.11), hananiah (0.07)	Neemias 12:12 — And in the days of Joiakim were priests, the chief of the fathers: of Seraiah, Meraiah; of Jeremiah, Hananiah;
maluqui	1	melicu (1.00), shebaniah (0.25), jonathan (0.02), joseph (0.00)	Neemias 12:14 — Of Melicu, Jonathan; of Shebaniah, Joseph;
helcai	1	helkai (1.00), adna (0.67), meraioth (0.25), harim (0.17)	Neemias 12:15 — Of Harim, Adna; of Meraioth, Helkai;
moadias	1	moadiah (1.00), piltai (1.00), miniamin (0.50), zichri (0.15)	Neemias 12:17 — Of Abijah, Zichri; of Miniamin, of Moadiah, Piltai;
piltai	1	moadiah (1.00), piltai (1.00), miniamin (0.50), zichri (0.15)	Neemias 12:17 — Of Abijah, Zichri; of Miniamin, of Moadiah, Piltai;
serabias	1	sherebiah (0.22), kadmiel (0.22), hashabiah (0.13), ward (0.08)	Neemias 12:24 — And the chief of the Levites: Hashabiah, Sherebiah, and Jeshua the son of Kadmiel, with their brethren over against them, to praise and to give thanks
netofati	1	netophathi (1.00), singers (0.05), villages (0.03), plain (0.02)	Neemias 12:28 — And the sons of the singers gathered themselves together, both out of the plain country round about Jerusalem, and from the villages of Netophathi;
milalai	1	azarael (1.00), milalai (1.00), gilalai (1.00), maai (1.00)	Neemias 12:36 — And his brethren, Shemaiah, and Azarael, Milalai, Gilalai, Maai, Nethaneel, and Judah, Hanani, with the musical instruments of David the man of God, a
gilalai	1	azarael (1.00), milalai (1.00), gilalai (1.00), maai (1.00)	Neemias 12:36 — And his brethren, Shemaiah, and Azarael, Milalai, Gilalai, Maai, Nethaneel, and Judah, Hanani, with the musical instruments of David the man of God, a
maai	1	azarael (1.00), milalai (1.00), gilalai (1.00), maai (1.00)	Neemias 12:36 — And his brethren, Shemaiah, and Azarael, Milalai, Gilalai, Maai, Nethaneel, and Judah, Hanani, with the musical instruments of David the man of God, a
miniamin	1	miniamin (0.50), michaiah (0.25), elioenai (0.22), eliakim (0.13)	Neemias 12:41 — And the priests; Eliakim, Maaseiah, Miniamin, Michaiah, Elioenai, Zechariah, and Hananiah, with trumpets;
jezraías	1	jezrahiah (1.00), jehohanan (0.29), malchijah (0.29), overseer (0.25)	Neemias 12:42 — And Maaseiah, and Shemaiah, and Eleazar, and Uzzi, and Jehohanan, and Malchijah, and Elam, and Ezer. And the singers sang loud, with Jezrahiah their o
asdodita	1	jews' (0.13), ashdod (0.11), speech (0.03), language (0.03)	Neemias 13:24 — And their children spake half in the speech of Ashdod, and could not speak in the Jews' language, but according to the language of each people.
aíra	1	ahira (0.33), enan (0.33), naphtali (0.04), son (0.00)	Números 1:15 — Of Naphtali; Ahira the son of Enan.
amrão	1	izehar (1.00), amram (0.14), uzziel (0.12), kohath (0.07)	Números 3:19 — And the sons of Kohath by their families; Amram, and Izehar, Hebron, and Uzziel.
maeli	1	mushi (0.22), mahli (0.18), merari (0.05), families (0.01)	Números 3:20 — And the sons of Merari by their families; Mahli, and Mushi. These are the families of the Levites according to the house of their fathers.
simeítas	1	shimites (1.00), libnites (0.67), gershonites (0.20), gershon (0.11)	Números 3:21 — Of Gershon was the family of the Libnites, and the family of the Shimites: these are the families of the Gershonites.
lael	1	lael (1.00), eliasaph (0.29), gershonites (0.20), chief (0.01)	Números 3:24 — And the chief of the house of the father of the Gershonites shall be Eliasaph the son of Lael.
amramitas	1	izeharites (1.00), amramites (0.67), uzzielites (0.67), hebronites (0.33)	Números 3:27 — And of Kohath was the family of the Amramites, and the family of the Izeharites, and the family of the Hebronites, and the family of the Uzzielites: t
jizaritas	1	izeharites (1.00), amramites (0.67), uzzielites (0.67), hebronites (0.33)	Números 3:27 — And of Kohath was the family of the Amramites, and the family of the Izeharites, and the family of the Hebronites, and the family of the Uzzielites: t
superintendência	1	oversight (0.17), eleazar (0.03), charge (0.02), sanctuary (0.01)	Números 3:32 — And Eleazar the son of Aaron the priest shall be chief over the chief of the Levites, and have the oversight of them that keep the charge of the sanct
zuriel	1	zuriel (1.00), abihail (0.29), pitch (0.06), merari (0.05)	Números 3:35 — And the chief of the house of the father of the families of Merari was Zuriel the son of Abihail: these shall pitch on the side of the tabernacle nort
pôr-lhe-ão	1	badgers' (0.13), cloth (0.09), skins (0.07), wholly (0.06)	Números 4:6 — And shall put thereon the covering of badgers' skins, and shall spread over it a cloth wholly of blue, and shall put in the staves thereof.
amaldiçoantes	1	lain (0.29), uncleanness (0.05), causeth (0.05), instead (0.04)	Números 5:19 — And the priest shall charge her by an oath, and say unto the woman, If no man have lain with thee, and if thou hast not gone aside to uncleanness with
beberagem	1	moist (1.00), liquor (0.67), vinegar (0.17), grapes (0.05)	Números 6:3 — He shall separate himself from wine and strong drink, and shall drink no vinegar of wine, or vinegar of strong drink, neither shall he drink any liquo
populacho	1	mixt (1.00), lusting (1.00), wept (0.03), fell (0.01)	Números 11:4 — And the mixt multitude that was among them fell a lusting: and the children of Israel also wept again, and said, Who shall give us flesh to eat?
alho-poró	1	melons (1.00), leeks (1.00), onions (1.00), garlick (1.00)	Números 11:5 — We remember the fish, which we did eat in Egypt freely; the cucumbers, and the melons, and the leeks, and the onions, and the garlick:
gral	1	mills (1.00), mortar (0.67), baked (0.40), pans (0.40)	Números 11:8 — And the people went about, and gathered it, and ground it in mills, or beat it in a mortar, and baked it in pans, and made cakes of it: and the taste 
proíbe-lho	1	nun (0.07), forbid (0.05), joshua (0.01), young (0.01)	Números 11:28 — And Joshua the son of Nun, the servant of Moses, one of his young men, answered and said, My lord Moses, forbid them.
rafu	1	palti (1.00), raphu (1.00), benjamin (0.01), tribe (0.01)	Números 13:9 — Of the tribe of Benjamin, Palti the son of Raphu.
gadiel	1	gaddiel (1.00), sodi (1.00), zebulun (0.04), tribe (0.01)	Números 13:10 — Of the tribe of Zebulun, Gaddiel the son of Sodi.
sodi	1	gaddiel (1.00), sodi (1.00), zebulun (0.04), tribe (0.01)	Números 13:10 — Of the tribe of Zebulun, Gaddiel the son of Sodi.
susi	1	gaddi (1.00), susi (1.00), namely (0.06), manasseh (0.01)	Números 13:11 — Of the tribe of Joseph, namely, of the tribe of Manasseh, Gaddi the son of Susi.
gemali	1	gemalli (1.00), ammiel (0.29), dan (0.03), tribe (0.01)	Números 13:12 — Of the tribe of Dan, Ammiel the son of Gemalli.
setur	1	sethur (1.00), michael (0.08), asher (0.05), tribe (0.01)	Números 13:13 — Of the tribe of Asher, Sethur the son of Michael.
nabi	1	nahbi (1.00), vophsi (1.00), naphtali (0.04), tribe (0.01)	Números 13:14 — Of the tribe of Naphtali, Nahbi the son of Vophsi.
vofsi	1	nahbi (1.00), vophsi (1.00), naphtali (0.04), tribe (0.01)	Números 13:14 — Of the tribe of Naphtali, Nahbi the son of Vophsi.
geuel	1	geuel (1.00), machi (1.00), gad (0.03), tribe (0.01)	Números 13:15 — Of the tribe of Gad, Geuel the son of Machi.
maqui	1	geuel (1.00), machi (1.00), gad (0.03), tribe (0.01)	Números 13:15 — Of the tribe of Gad, Geuel the son of Machi.
ministerial	1	vail (0.06), priest's (0.04), office (0.02), gift (0.02)	Números 18:7 — Therefore thou and thy sons with thee shall keep your priest's office for every thing of the altar, and within the vail; and ye shall serve: I have gi
contar-se-vos-á	1	winepress (0.13), threshingfloor (0.11), reckoned (0.08), heave (0.08)	Números 18:27 — And this your heave offering shall be reckoned unto you, as though it were the corn of the threshingfloor, and as the fulness of the winepress.
zin	1	zin (0.20), miriam (0.14), kadesh (0.11), desert (0.04)	Números 20:1 — Then came the children of Israel, even the whole congregation, into the desert of Zin in the first month: and the people abode in Kadesh; and Miriam d
ije-abarim	1	ije-abarim (0.67), oboth (0.40), sunrising (0.18), journeyed (0.04)	Números 21:11 — And they journeyed from Oboth, and pitched at Ije-abarim, in the wilderness which is before Moab, toward the sunrising.
vaebe	1	brooks (0.13), arnon (0.08), red (0.03), wars (0.03)	Números 21:14 — Wherefore it is said in the book of the wars of the LORD, What he did in the Red sea, and in the brooks of Arnon,
sufá	1	brooks (0.13), arnon (0.08), red (0.03), wars (0.03)	Números 21:14 — Wherefore it is said in the book of the wars of the LORD, What he did in the Red sea, and in the brooks of Arnon,
nofá	1	nophah (1.00), medeba (0.33), dibon (0.20), reacheth (0.14)	Números 21:30 — We have shot at them; Heshbon is perished even unto Dibon, and we have laid them waste even unto Nophah, which reacheth unto Medeba.
quiriate-huzote	1	kirjath-huzoth (1.00), balak (0.05), balaam (0.03), went (0.00)	Números 22:39 — And Balaam went with Balak, and they came unto Kirjath-huzoth.
amaldiçoa-mo	1	utmost (0.14), balak (0.05), whence (0.02), mayest (0.02)	Números 23:13 — And Balak said unto him, Come, I pray thee, with me unto another place, from whence thou mayest see them: thou shalt see but the utmost part of them, 
zofim	1	zophim (1.00), pisgah (0.33), altars (0.04), ram (0.02)	Números 23:14 — And he brought him into the field of Zophim, to the top of Pisgah, and built seven altars, and offered a bullock and a ram on every altar.
quenitas	1	dwellingplace (0.50), kenites (0.25), puttest (0.25), nest (0.12)	Números 24:21 — And he looked on the Kenites, and took up his parable, and said, Strong is thy dwellingplace, and thou puttest thy nest in a rock.
quenita	1	kenite (0.33), asshur (0.22), wasted (0.09), captive (0.02)	Números 24:22 — Nevertheless the Kenite shall be wasted, until Asshur shall carry thee away captive.
enoquitas	1	hanochites (1.00), palluites (1.00), pallu (0.40), hanoch (0.33)	Números 26:5 — Reuben, the eldest son of Israel: the children of Reuben; Hanoch, of whom cometh the family of the Hanochites: of Pallu, the family of the Palluites:
paluítas	1	hanochites (1.00), palluites (1.00), pallu (0.40), hanoch (0.33)	Números 26:5 — Reuben, the eldest son of Israel: the children of Reuben; Hanoch, of whom cometh the family of the Hanochites: of Pallu, the family of the Palluites:
hezronitas	1	carmites (1.00), hezronites (0.67), carmi (0.22), hezron (0.11)	Números 26:6 — Of Hezron, the family of the Hezronites: of Carmi, the family of the Carmites.
carmitas	1	carmites (1.00), hezronites (0.67), carmi (0.22), hezron (0.11)	Números 26:6 — Of Hezron, the family of the Hezronites: of Carmi, the family of the Carmites.
nemuelitas	1	nemuelites (1.00), jaminites (1.00), jachinites (1.00), nemuel (0.50)	Números 26:12 — The sons of Simeon after their families: of Nemuel, the family of the Nemuelites: of Jamin, the family of the Jaminites: of Jachin, the family of the 
jaminitas	1	nemuelites (1.00), jaminites (1.00), jachinites (1.00), nemuel (0.50)	Números 26:12 — The sons of Simeon after their families: of Nemuel, the family of the Nemuelites: of Jamin, the family of the Jaminites: of Jachin, the family of the 
jaquinitas	1	nemuelites (1.00), jaminites (1.00), jachinites (1.00), nemuel (0.50)	Números 26:12 — The sons of Simeon after their families: of Nemuel, the family of the Nemuelites: of Jamin, the family of the Jaminites: of Jachin, the family of the 
saulitas	1	shaulites (1.00), zarhites (0.33), shaul (0.25), zerah (0.10)	Números 26:13 — Of Zerah, the family of the Zarhites: of Shaul, the family of the Shaulites.
zefom	1	zephon (1.00), zephonites (1.00), haggites (1.00), shunites (1.00)	Números 26:15 — The children of Gad after their families: of Zephon, the family of the Zephonites: of Haggi, the family of the Haggites: of Shuni, the family of the S
zefonitas	1	zephon (1.00), zephonites (1.00), haggites (1.00), shunites (1.00)	Números 26:15 — The children of Gad after their families: of Zephon, the family of the Zephonites: of Haggi, the family of the Haggites: of Shuni, the family of the S
hagitas	1	zephon (1.00), zephonites (1.00), haggites (1.00), shunites (1.00)	Números 26:15 — The children of Gad after their families: of Zephon, the family of the Zephonites: of Haggi, the family of the Haggites: of Shuni, the family of the S
sunitas	1	zephon (1.00), zephonites (1.00), haggites (1.00), shunites (1.00)	Números 26:15 — The children of Gad after their families: of Zephon, the family of the Zephonites: of Haggi, the family of the Haggites: of Shuni, the family of the S
ozni	1	ozni (1.00), oznites (1.00), erites (1.00), eri (0.67)	Números 26:16 — Of Ozni, the family of the Oznites: of Eri, the family of the Erites:
oznitas	1	ozni (1.00), oznites (1.00), erites (1.00), eri (0.67)	Números 26:16 — Of Ozni, the family of the Oznites: of Eri, the family of the Erites:
eritas	1	ozni (1.00), oznites (1.00), erites (1.00), eri (0.67)	Números 26:16 — Of Ozni, the family of the Oznites: of Eri, the family of the Erites:
arode	1	arod (1.00), arodites (1.00), arelites (1.00), areli (0.67)	Números 26:17 — Of Arod, the family of the Arodites: of Areli, the family of the Arelites.
aroditas	1	arod (1.00), arodites (1.00), arelites (1.00), areli (0.67)	Números 26:17 — Of Arod, the family of the Arodites: of Areli, the family of the Arelites.
arelitas	1	arod (1.00), arodites (1.00), arelites (1.00), areli (0.67)	Números 26:17 — Of Arod, the family of the Arodites: of Areli, the family of the Arelites.
selanitas	1	shelanites (1.00), pharzites (1.00), zarhites (0.33), shelah (0.18)	Números 26:20 — And the sons of Judah after their families were; of Shelah, the family of the Shelanites: of Pharez, the family of the Pharzites: of Zerah, the family
perezitas	1	shelanites (1.00), pharzites (1.00), zarhites (0.33), shelah (0.18)	Números 26:20 — And the sons of Judah after their families were; of Shelah, the family of the Shelanites: of Pharez, the family of the Pharzites: of Zerah, the family
hezromitas	1	hamulites (1.00), hezronites (0.67), hamul (0.50), pharez (0.18)	Números 26:21 — And the sons of Pharez were; of Hezron, the family of the Hezronites: of Hamul, the family of the Hamulites.
hamulitas	1	hamulites (1.00), hezronites (0.67), hamul (0.50), pharez (0.18)	Números 26:21 — And the sons of Pharez were; of Hezron, the family of the Hezronites: of Hamul, the family of the Hamulites.
tolaítas	1	tolaites (1.00), pua (1.00), punites (1.00), tola (0.33)	Números 26:23 — Of the sons of Issachar after their families: of Tola, the family of the Tolaites: of Pua, the family of the Punites:
puvitas	1	tolaites (1.00), pua (1.00), punites (1.00), tola (0.33)	Números 26:23 — Of the sons of Issachar after their families: of Tola, the family of the Tolaites: of Pua, the family of the Punites:
jasubitas	1	jashubites (1.00), shimronites (1.00), jashub (0.50), shimron (0.33)	Números 26:24 — Of Jashub, the family of the Jashubites: of Shimron, the family of the Shimronites.
sinronitas	1	jashubites (1.00), shimronites (1.00), jashub (0.50), shimron (0.33)	Números 26:24 — Of Jashub, the family of the Jashubites: of Shimron, the family of the Shimronites.
sereditas	1	sardites (1.00), elonites (1.00), jahleelites (1.00), sered (0.67)	Números 26:26 — Of the sons of Zebulun after their families: of Sered, the family of the Sardites: of Elon, the family of the Elonites: of Jahleel, the family of the 
elonitas	1	sardites (1.00), elonites (1.00), jahleelites (1.00), sered (0.67)	Números 26:26 — Of the sons of Zebulun after their families: of Sered, the family of the Sardites: of Elon, the family of the Elonites: of Jahleel, the family of the 
jaleelitas	1	sardites (1.00), elonites (1.00), jahleelites (1.00), sered (0.67)	Números 26:26 — Of the sons of Zebulun after their families: of Sered, the family of the Sardites: of Elon, the family of the Elonites: of Jahleel, the family of the 
zebulonitas	1	zebulunites (1.00), threescore (0.02), numbered (0.01), families (0.01)	Números 26:27 — These are the families of the Zebulunites according to those that were numbered of them, threescore thousand and five hundred.
maquiritas	1	machirites (1.00), gileadites (0.40), machir (0.10), gilead (0.02)	Números 26:29 — Of the sons of Manasseh: of Machir, the family of the Machirites: and Machir begat Gilead: of Gilead come the family of the Gileadites.
helequitas	1	jeezer (1.00), jeezerites (1.00), helekites (1.00), helek (0.67)	Números 26:30 — These are the sons of Gilead: of Jeezer, the family of the Jeezerites: of Helek, the family of the Helekites:
asrielitas	1	asrielites (1.00), shechemites (1.00), asriel (0.67), shechem (0.04)	Números 26:31 — And of Asriel, the family of the Asrielites: and of Shechem, the family of the Shechemites:
siquemitas	1	asrielites (1.00), shechemites (1.00), asriel (0.67), shechem (0.04)	Números 26:31 — And of Asriel, the family of the Asrielites: and of Shechem, the family of the Shechemites:
semidaítas	1	shemidaites (1.00), hepherites (1.00), shemida (0.67), hepher (0.20)	Números 26:32 — And of Shemida, the family of the Shemidaites: and of Hepher, the family of the Hepherites.
heferitas	1	shemidaites (1.00), hepherites (1.00), shemida (0.67), hepher (0.20)	Números 26:32 — And of Shemida, the family of the Shemidaites: and of Hepher, the family of the Hepherites.
sutelaítas	1	shuthalhites (1.00), bachrites (1.00), tahanites (1.00), tahan (0.67)	Números 26:35 — These are the sons of Ephraim after their families: of Shuthelah, the family of the Shuthalhites: of Becher, the family of the Bachrites: of Tahan, th
bequeritas	1	shuthalhites (1.00), bachrites (1.00), tahanites (1.00), tahan (0.67)	Números 26:35 — These are the sons of Ephraim after their families: of Shuthelah, the family of the Shuthalhites: of Becher, the family of the Bachrites: of Tahan, th
taanitas	1	shuthalhites (1.00), bachrites (1.00), tahanites (1.00), tahan (0.67)	Números 26:35 — These are the sons of Ephraim after their families: of Shuthelah, the family of the Shuthalhites: of Becher, the family of the Bachrites: of Tahan, th
erã	1	eran (1.00), eranites (1.00), shuthelah (0.40), family (0.02)	Números 26:36 — And these are the sons of Shuthelah: of Eran, the family of the Eranites.
eranitas	1	eran (1.00), eranites (1.00), shuthelah (0.40), family (0.02)	Números 26:36 — And these are the sons of Shuthelah: of Eran, the family of the Eranites.
belaítas	1	belaites (1.00), ashbelites (1.00), ahiram (1.00), ahiramites (1.00)	Números 26:38 — The sons of Benjamin after their families: of Bela, the family of the Belaites: of Ashbel, the family of the Ashbelites: of Ahiram, the family of the 
asbelitas	1	belaites (1.00), ashbelites (1.00), ahiram (1.00), ahiramites (1.00)	Números 26:38 — The sons of Benjamin after their families: of Bela, the family of the Belaites: of Ashbel, the family of the Ashbelites: of Ahiram, the family of the 
